ListingYear,state,Count
2019,Australian Capital Territory,88
2019,New South Wales,614
2019,Northern Territories,1
2019,Queensland,110
2019,South Australia,50
2019,Tasmania,3
2019,UK & Ireland,1
2019,Victoria,355
2019,Western Australia,91
2020,Australian Capital Territory,97
2020,New South Wales,332
2020,Queensland,66
2020,South Australia,27
2020,Tasmania,3
2020,UK & Ireland,2
2020,Victoria,227
2020,Western Australia,52
2021,Australian Capital Territory,121
2021,New South Wales,697
2021,Northern Territories,1
2021,Northern Territory,5
2021,Overseas,2
2021,Queensland,182
2021,South Australia,63
2021,Tasmania,4
2021,Victoria,471
2021,Western Australia,120
2022,Australian Capital Territory,9
2022,New South Wales,55
2022,Queensland,8
2022,South Australia,4
2022,Victoria,35
2022,Western Australia,6
