jobClassification,jobSubClassification,Count
Banking & Financial Services,Analysis & Reporting,94
Banking & Financial Services,Banking - Business,3
Banking & Financial Services,Compliance & Risk,19
Banking & Financial Services,Corporate Finance & Investment Banking,1
Banking & Financial Services,Credit,3
Banking & Financial Services,Funds Management,7
Banking & Financial Services,Other,25
Banking & Financial Services,Stockbroking & Trading,13
Information & Communication Technology,Architects,30
Information & Communication Technology,Business/Systems Analysts,239
Information & Communication Technology,Consultants,234
Information & Communication Technology,Database Development & Administration,293
Information & Communication Technology,Developers/Programmers,321
Information & Communication Technology,Engineering - Hardware,1
Information & Communication Technology,Engineering - Network,6
Information & Communication Technology,Engineering - Software,269
Information & Communication Technology,Help Desk & IT Support,2
Information & Communication Technology,Management,26
Information & Communication Technology,Networks & Systems Administration,1
Information & Communication Technology,Other,615
Information & Communication Technology,Product Management & Development,13
Information & Communication Technology,Programme & Project Management,5
Information & Communication Technology,Quality Assurance & Control,1
Information & Communication Technology,Sales - Pre & Post,3
Information & Communication Technology,Security,2
Information & Communication Technology,Team Leaders,10
Information & Communication Technology,Telecommunications,8
Information & Communication Technology,Testing & Quality Assurance,1
Information & Communication Technology,Web Development & Production,5
Science & Technology,Biological & Biomedical Sciences,12
Science & Technology,Biotechnology & Genetics,1
Science & Technology,Chemistry & Physics,1
Science & Technology,"Environmental, Earth & Geosciences",18
Science & Technology,Food Technology & Safety,1
Science & Technology,Laboratory & Technical Services,1
Science & Technology,Materials Sciences,2
Science & Technology,"Mathematics, Statistics & Information Sciences",857
Science & Technology,Modelling & Simulation,40
Science & Technology,Other,17
Science & Technology,Quality Assurance & Control,1
Science & Technology,Stockbroking & Trading,1
